ID,LastName,FirstName,JobCode,BasePay,UtilizationRate,EvaluationScore
153,Pipps,Georg,C,180828,74.27,1.5
155,Kloss,Horst,C,51344,84.27,2.0
156,Wilson,Paula,C,112392,111.96,0.0
157,Moroni,Maurizio,C,116389,98.31,0.2
158,Limeira,Janete,C,155320,97.07,2.0
159,Holz,Michael,C,132125,78.22,10.0
160,Camino,Alejandra,C,60886,75.2,0.5
161,Bergulfsen,Jonas,C,163529,78.13,0.0
162,Pavarotti,Jose,C,138924,111.69,1.0
163,Kumar,Hari,D,440128,105.42,0.0
164,Petersen,Jytte,C,122383,93.56,4.0
165,Perrier,Dominique,C,164931,69.2,2.0
166,Braunschweiger,Art,D,374064,44.71,0.0
167,Cartrain,Pascale,D,391673,75.96,0.0
168,Nixon,Liz,C,163814,99.73,1.2
169,Wong,Liu,C,179323,103.29,1.0
170,Josephs,Karin,C,79000,97.16,0.8
171,Domingues,Anabela,C,114311,89.96,10.0
172,Nagy,Helvetius,C,108182,81.64,2.5
173,Ibsen,Palle,C,161755,95.42,0.5
174,Saveley,Mary,C,190854,81.02,8.0
175,Henriot,Paul,C,154267,91.11,0.0
176,Miller,Rita,D,466037,61.64,0.0
177,Koskitalo,Pirkko,C,103958,86.89,0.0
178,Parente,Paula,C,86788,69.02,5.0
179,Jablonski,Karl,C,63272,89.47,10.0
180,Karttunen,Matti,C,159214,114.58,10.0
181,Piestrzeniewicz,Zbyszek,D,473910,82.44,0.0
182,Cooper,Charlotte,C,166892,109.38,3.5
183,Burke,Shelley,C,63083,86.84,6.0
184,Murphy,Regina,C,142582,77.47,10.0
185,Nagase,Yoshi,C,185028,74.09,10.0
186,Ohno,Mayumi,C,167469,101.82,1.3
187,Devling,Ian,C,79750,85.64,1.0
188,Wilson,Peter,C,174997,115.2,1.0
189,Peterson,Lars,C,149565,40.84,0.0
190,Diaz,Carlos,C,196947,0.0,6.0
191,Winkler,Petra,D,382400,117.56,0.0
192,Bein,Martin,C,159192,92.31,2.0
193,Petersen,Sven,C,183174,95.73,0.0
194,Rossi,Elio,D,352470,82.71,0.0
195,Vileid,Beate,C,137557,115.07,0.0
196,Saylor,Cheryl,C,131975,88.62,2.5
197,Merchant,Robb,C,180444,114.09,0.5
198,Leka,Chandra,D,424825,113.78,0.0
199,Petersen,Niels,C,170532,42.8,2.5
201,Heikkonen,Anne,C,176297,102.49,0.0
202,Mackenzie,Wendy,C,167770,80.93,3.0
203,Giudici,Giovanni,D,460043,77.87,0.0
204,Delamare,Marie,C,60394,101.87,1.0
205,Noz,Eliane,C,93264,108.09,0.0
208,Petr,Beth,C,163655,108.18,1.0
209,Hersha,Jeffrey,C,122079,84.71,0.2
210,Bouwman,Donald,C,161206,100.67,0.7
211,Markovicz,Claire,C,97343,91.11,3.5
212,Yasenak,Michele,C,72021,82.62,1.0
213,Fairbrother,John,D,465130,115.33,0.0
214,Coppolino,Cheryl,C,143147,77.87,1.3
215,Tang,Hwan,C,71239,100.36,0.0
216,Foley,Katherine,C,95951,66.0,0.5
217,Ropiak,Jessica,D,345991,0.0,0.0
218,Logan,John,C,52855,100.76,0.5
219,Faraci,Christine,D,484741,103.69,0.0
220,Quirk,Grace,C,131186,88.22,4.0
221,Petraitis,Chelsea,C,113627,104.44,1.3
222,Valencia,Rodrigo,C,190565,100.58,0.0
223,Robitaille,Greg,D,371546,79.42,0.0
224,Alexander,Olivia,C,112506,92.49,2.5
225,Shea,Nancy,C,139586,87.02,0.0
226,Sonthi,Jahnavi,C,71528,85.87,2.5
228,Moreau,Scott,C,77968,109.24,0.0
229,Weiss,Nathan,C,192655,49.2,0.0
230,Giannopoulous,Rebecca,C,173389,72.58,4.0
231,Kervin,Bryce,C,136807,92.18,0.4
232,Bethel,Sam,C,99255,73.78,1.5
233,Gonzalez,Victoria,D,411132,103.02,0.0
234,Krikorian,Sonya,C,167486,58.04,10.0
235,MacDonald,Helen,C,169440,30.98,1.5
236,Engber,Michael,C,74185,103.73,10.0
237,Camara,Rachel,C,111419,72.09,0.2
238,Mewherter,Spencer,D,441373,91.38,0.0
239,Gaughan,Aidan,C,149072,70.53,0.0
240,Boucher,Francoise,C,144490,95.91,10.0
241,Belanger,Jacques,D,389183,108.18,0.0
242,McDonough,Gavin,C,140890,73.6,10.0
243,Tremblay,Louise,C,78683,77.29,10.0
244,Johnson,Celia,C,113424,74.04,3.0
245,Normand,Martine,C,83378,74.27,10.0
246,Lim,Matthew,C,153783,91.69,0.5
247,Jian,Lubin,C,137915,91.73,3.0
248,Benton,Alexander,D,485148,86.71,0.0
249,Adgate,Andrew,C,108909,93.69,2.0
250,Santano,Julia,C,156918,112.58,1.5
251,Keller,Richard,C,169037,99.6,1.0
252,DeSilva,Kathy,C,198300,64.62,2.0
253,Sanchez,Juanita,C,97801,63.47,0.0
254,Lombardo,Vincent,C,144544,67.29,0.0
255,Irwin,Wayne,D,364279,72.49,0.0
256,Shah,Dipika,C,69527,95.82,2.0
257,Parks,Jerome,C,167972,101.02,3.0
258,Pratt,Nicole,D,310042,53.96,0.0
259,Steinberg,Jason,C,150615,94.27,1.0
260,Reynolds,Mark,D,404822,92.44,0.0
261,Hehir,Joseph,C,157982,90.22,10.0
262,Bethel,Lester,D,343375,82.98,0.0
263,Fraser,Allan,C,102152,83.24,2.0
264,Burns,Tracy,D,424602,83.64,0.0
265,Katz,David,C,122049,95.73,10.0
266,Chang,Christina,C,174466,113.38,2.0
267,Drimusz,Laszlo,C,171475,97.16,0.5
268,Chiauzzi,Emil,C,171043,73.56,3.0
269,Chiauzzi,Roberta,C,67619,94.8,2.0
270,Heitkamp,Walter,C,184239,54.04,0.0
271,Bartkus,Karen,D,445324,63.78,0.0
272,Gilfix,Erik,D,334223,82.67,0.0
273,Thompson,Sandra,C,67689,120.13,1.0
274,Michaud,Bernard,C,138268,80.8,3.0
275,Lai,Kim,C,122039,83.16,0.0
276,Iwanicki,Thomas,D,443754,87.73,0.0
277,Foster,Adrienne,C,136042,76.09,10.0
278,Diaz,Franco,C,122639,110.84,4.0
